ra,dec,mag_model_hst-f814w,mag_model_uvista-y,mag_model_uvista-j,mag_model_uvista-h,mag_model_uvista-ks,mag_model_irac-ch1,mag_model_irac-ch2,mag_model_f115w,mag_model_f150w,mag_model_f277w,mag_model_f444w,flux_model_hst-f814w,flux_model_uvista-y,flux_model_uvista-j,flux_model_uvista-h,flux_model_uvista-ks,flux_model_irac-ch1,flux_model_irac-ch2,flux_model_f115w,flux_model_f150w,flux_model_f277w,flux_model_f444w,flux_err-cal_model_hst-f814w,flux_err-cal_model_uvista-y,flux_err-cal_model_uvista-j,flux_err-cal_model_uvista-h,flux_err-cal_model_uvista-ks,flux_err-cal_model_irac-ch1,flux_err-cal_model_irac-ch2,flux_err-cal_model_f115w,flux_err-cal_model_f150w,flux_err-cal_model_f277w,flux_err-cal_model_f444w,zpdf_med,mass_med,ssfr_med
149.7362572,2.158274231,25.87950314,24.70565791,23.95667159,22.8170154,22.72795082,22.83603398,22.78088068,24.71936052,23.72356216,22.86327269,22.4930026,0.16150975,0.476142378,0.949142378,2.711401538,2.94319929,2.66432013,2.803158963,0.470170952,1.176454501,2.598309766,3.65425592,0.01168309,0.059635969,0.041919413,0.048187523,0.060246807,0.16223776,0.127176551,0.011864839,0.01108428,0.011336315,0.015051041,2.5005,10.12917,-8.28317
149.8049341,2.133618355,25.49595834,25.1287784,24.87605317,24.18882,23.96708018,24.12334194,23.97921335,25.14028971,24.41353976,23.78907765,23.63311203,0.229941131,0.322469498,0.406985309,0.766429123,0.940086743,0.814072761,0.929639692,0.319068637,0.623137799,1.107564282,1.278660314,0.039520788,0.083349377,0.06342101,0.072937441,0.093011281,0.144291166,0.141737474,0.030306003,0.029923638,0.017689037,0.021371829,2.7924,9.7522,-8.72217
149.7746153,2.144785416,25.45189645,25.19864842,24.93968277,24.41827608,24.16250932,24.01430487,23.83132719,25.07259811,24.60203255,23.80440726,23.6341541,0.239464655,0.302371346,0.383819372,0.620425396,0.785228891,0.900073661,1.065293128,0.339594585,0.523825916,1.092036356,1.277433679,0.033047569,0.078196713,0.063355349,0.074368279,0.099498663,0.15177333,0.136207844,0.030273415,0.024619016,0.02132922,0.023224713,2.9134,9.65162,-8.35431
149.8347219,2.123139881,24.23625076,23.38736951,23.4604456,22.9734874,22.91992787,23.00411871,22.95257539,24.12958877,23.79709271,23.22063755,23.18226371,0.733668202,1.603438097,1.49906947,2.347496967,2.466203172,2.28219377,2.393149579,0.809402405,1.099418181,1.869583984,1.936843435,0.064304677,1.201908544,0.888617413,0.824536889,0.815972718,0.965697784,0.763580894,0.047108707,0.048530094,0.036994278,0.049503155,3.2392,9.61926,-8.08923
149.8560379,2.115212749,25.40343795,24.70184464,24.15998562,23.27831374,22.7810584,22.15311621,21.83729193,26.6132116,23.69685954,22.296743,21.65955493,0.25039452,0.4778176,0.787056216,1.772860262,2.802700164,4.997508197,6.684720116,0.082170392,1.205746988,4.378272634,7.873684868,0.044184229,0.072914389,0.057700337,0.067777241,0.087749375,0.189618558,0.140273795,0.07785683,0.062874996,0.029500363,0.038903448,2.7677,10.87683,-9.25252
149.7510966,2.153631479,26.45152343,26.78971976,25.51867913,24.45429358,23.8816518,23.27502037,22.91634386,25.96128012,24.87435604,23.41939227,22.63661347,0.095365355,0.069841265,0.225179239,0.600181449,1.017042915,1.778246052,2.474357554,0.14979177,0.40762197,1.556836807,3.201508159,0.021437624,0.065763308,0.046961445,0.053907942,0.067179359,0.136046483,0.130060576,0.030350582,0.023798363,0.01573932,0.024724823,2.826,10.23728,-8.42411
149.7792369,2.143390982,,,,26.92963686,24.23253762,22.35140249,21.78676978,,26.96135181,23.13130901,21.59902942,3.32E-05,0.000127377,4.23E-05,0.061396732,0.736181591,4.163312434,7.003128398,9.04E-05,0.05962924,2.029908183,8.325076465,0.054985597,0.09015747,0.072967572,0.08530404,0.112507295,0.183155541,0.157155671,0.05217525,0.041477769,0.026725318,0.042470713,3.8686,11.26543,-8.60427
149.7545497,2.152884611,24.33980233,24.5836037,23.97033245,23.18889399,22.71027847,22.71343778,22.44845198,24.08514751,23.68281638,22.84836381,22.95474005,0.66692818,0.532793013,0.937274972,1.925051721,2.991497279,2.982805168,3.807318483,0.843220186,1.221443678,2.634234767,2.388383053,0.027305241,0.6635118,0.500248743,0.490416698,0.503640013,0.711620612,0.51273055,0.026269522,0.02609501,0.039065189,0.037600969,3.6934,9.76193,-7.62146
149.7546188,2.152887706,26.55383277,25.06983516,25.02259373,24.62767847,24.48426202,24.71171425,24.80930195,25.60323249,24.60833428,23.34780682,22.9175974,0.086789441,0.340459875,0.35560062,0.511597733,0.58384181,0.473493804,0.432791996,0.208308506,0.520794378,1.662942658,2.471502417,0.044831596,0.079857548,0.058690532,0.067363222,0.083418451,0.182115077,0.141834065,0.045734047,0.03729642,0.018698669,0.023179189,2.7111,10.2,-9.69998
149.7549134,2.152746109,26.62447292,26.29141574,25.60431473,24.54422513,24.30212558,23.42589077,23.11138119,25.91901179,25.11907472,23.92648624,23.70646833,0.081322521,0.110518175,0.208100971,0.552471587,0.690477877,1.547546451,2.067509554,0.155738247,0.325364459,0.975900421,1.195123171,0.013121625,0.08349614,0.061402546,0.070211553,0.0871172,0.178741852,0.144141293,0.01746846,0.016927684,0.029356609,0.033918616,3.0129,9.88487,-8.81461
149.7772403,2.145212422,26.76495212,25.53523652,25.29764714,24.10187446,23.79817752,23.12744146,22.91838482,25.98427507,24.58531522,23.47341225,23.07554209,0.071452783,0.221771325,0.276020377,0.83032902,1.098320258,2.037151907,2.469710637,0.14665267,0.531953796,1.481272982,2.136894907,0.056179317,0.089856034,0.073229152,0.085957682,0.113800874,0.165379791,0.146287815,0.066419929,0.053180403,0.023133856,0.027859089,2.556,10.10768,-8.99086
149.8211139,2.129776596,27.1642678,26.11178674,26.11801195,25.12319245,24.67343967,24.55398038,24.22808294,26.69999424,25.99321043,24.34001627,23.79417988,0.049464415,0.130402316,0.129656777,0.32413283,0.490483194,0.547529909,0.739208279,0.07585816,0.145450704,0.666796775,1.102371681,0.012655447,0.065592486,0.045707563,0.052304621,0.064609928,0.137494336,0.129114612,0.014899929,0.016327935,0.007466792,0.011079886,3.1841,9.93495,-8.62497
149.8223124,2.129404802,25.36416341,24.75667408,24.62989439,24.45506642,23.82709293,23.0965516,23.02039103,25.1675131,24.50290178,23.50115401,23.3667885,0.259617903,0.45428706,0.510554658,0.599754386,1.069455767,2.095942477,2.248244752,0.311167878,0.573904046,1.443904255,1.634122463,0.051314508,0.090109649,0.075237424,0.089198323,0.11899323,0.142728294,0.146743421,0.048759348,0.054507406,0.019582642,0.023618509,4.2237,10.15034,-8.61501
149.8219578,2.129663743,25.60632389,25.36341435,24.96054012,24.90217762,24.4333445,24.04873795,24.15295884,25.90323905,25.27886535,24.11910394,24.12832644,0.207716236,0.259797076,0.376516447,0.397309503,0.611874282,0.871976579,0.792166488,0.158017207,0.280836699,0.817256575,0.810344004,0.148895512,0.166404199,0.131771392,0.147147958,0.180270772,0.211477598,0.195983396,0.171457403,0.200981975,0.032492461,0.037852337,4.5222,9.85421,-8.51332
149.7990693,2.137929926,25.05974247,24.10797816,23.62402785,23.15319591,22.74519552,22.68606107,22.90799534,24.91888633,23.68812928,22.64295941,22.21360005,0.343639449,0.82567424,1.289403549,1.989397812,2.896821885,3.058972499,2.493456889,0.391241997,1.215481322,3.182850469,4.726721128,0.234446187,0.245015043,0.191850688,0.206038883,0.239907819,0.293141679,0.255586579,0.191483869,0.166370914,0.119857022,0.164840919,2.5044,10.35284,-8.8774
149.7532576,2.154636425,24.63842239,24.25876705,24.07478534,23.3454383,23.03779247,23.02706289,22.91132499,24.45172357,23.70482265,22.89136422,22.73217916,0.506560175,0.71860987,0.851306329,1.666574299,2.212498636,2.234471635,2.485821877,0.601603802,1.196936028,2.531945263,2.931759455,0.033490055,0.071407538,0.051403788,0.058766177,0.072787577,0.169550048,0.135596674,0.078277903,0.063431277,0.021715207,0.023940912,3.0508,10.23478,-8.86599
