acsf814w_dust,VISTA_Y_dust,VISTA_J_dust,VISTA_H_dust,VISTA_Ks_dust,irac_ch1_dust,irac_ch2_dust,NIRCam_F115W_dust,NIRCam_F150W_dust,NIRCam_F277W_dust,NIRCam_F444W_dust
25.290728,25.10604,24.890331,24.115494,23.854643,23.313744,23.200493,25.00191,24.239483,23.59036,23.21377
24.636644,24.221275,23.57601,22.260267,21.769136,21.131939,20.971485,23.833935,22.564653,21.466322,20.987291
24.657503,24.433477,24.07877,23.009184,22.685501,22.117157,21.9797,24.241247,23.20136,22.421013,21.995241
26.781988,26.469078,25.970676,24.79729,24.462915,24.008345,23.926346,26.185982,25.008942,24.229677,23.936657
26.590818,26.271095,25.789062,24.645645,24.403234,24.064247,24.030607,26.003908,24.80708,24.232231,24.036436
24.062605,23.81376,23.492584,22.496447,22.1308,21.401268,21.204361,23.647263,22.680874,21.79532,21.225561
25.261639,24.996649,24.622873,23.56154,23.276873,22.73948,22.622503,24.802792,23.721504,23.025911,22.636345
27.331827,26.779161,26.081896,24.790234,24.460913,24.070148,24.010221,26.367456,25.014835,24.254093,24.018206
25.73972,25.676678,25.475534,24.667725,24.486065,24.189926,24.165213,25.586718,24.77858,24.33661,24.169468
26.86642,26.554916,26.06814,24.97603,24.754366,24.48841,24.486666,26.29135,25.121729,24.610144,24.489025
25.959208,25.718332,25.323849,24.30314,24.098038,23.802578,23.784178,25.51153,24.439266,23.948399,23.788004
26.05039,25.803123,25.520964,24.67261,24.385714,23.850437,23.74884,25.66787,24.80525,24.119034,23.759539
25.771803,25.582724,25.334736,24.515627,24.261211,23.794107,23.714151,25.468437,24.637825,24.027807,23.72307
24.941818,24.750933,24.530272,23.721558,23.419672,22.82162,22.677591,24.640911,23.862745,23.12939,22.693632
25.938267,25.824957,25.603085,24.765375,24.564484,24.225231,24.186556,25.7207,24.882565,24.394846,24.191963
26.510931,25.963413,25.418776,24.169283,23.504791,22.27033,21.905775,25.669477,24.44532,22.899729,21.941708
26.36002,25.972174,25.589678,24.624866,24.183498,23.367805,23.16863,25.77537,24.807402,23.768126,23.189463
26.487549,26.24735,25.856758,24.817102,24.540394,24.141457,24.081694,26.04408,24.97701,24.333334,24.089476
25.163633,24.924887,24.648224,23.777033,23.468086,22.875748,22.741304,24.789055,23.917965,23.176983,22.756126
24.857983,24.633139,24.378962,23.525766,23.208927,22.590528,22.441381,24.50591,23.672485,22.907814,22.457733
26.838924,26.58616,26.268267,25.326153,24.996958,24.444565,24.339811,26.427519,25.482344,24.713476,24.3511
25.2832,24.882887,24.465742,23.370821,22.85379,21.851467,21.563078,24.659067,23.598883,22.373926,21.59277
25.538904,25.189695,24.838095,23.864864,23.444523,22.539625,22.289253,25.003412,24.05022,23.018076,22.316875
24.327147,24.145924,23.925482,23.102852,22.813189,22.244444,22.110403,24.035975,23.243229,22.538363,22.125463
27.285746,26.613544,25.95797,24.554802,23.856073,22.626842,22.27941,26.255356,24.843697,23.235638,22.314138
27.140862,26.79661,26.41868,25.412786,24.99025,24.260637,24.088717,26.603046,25.598372,24.61538,24.106504
27.339624,26.938751,26.522709,25.491705,25.029093,24.246576,24.061481,26.725786,25.686834,24.623802,24.07975
25.33625,24.924833,24.276134,22.976254,22.456512,21.80279,21.647911,24.53573,23.29019,22.140951,21.663097
27.46606,27.055674,26.453259,25.265074,24.930067,24.56,24.509964,26.706059,25.480383,24.723951,24.517056
26.524607,26.178808,25.639648,24.4505,24.139648,23.736467,23.669794,25.868973,24.661444,23.933601,23.678514
25.91492,25.66221,25.251762,24.156532,23.883835,23.482449,23.416098,25.44229,24.327774,23.683113,23.424461
27.08959,26.582333,26.05269,24.810808,24.27072,23.334547,23.08464,26.297136,25.050396,23.800972,23.110413
24.726967,24.551079,24.233084,23.225182,22.975407,22.516203,22.417557,24.380621,23.387178,22.768475,22.42951
25.132982,24.852327,24.530373,23.559181,23.174284,22.381042,22.167307,24.683344,23.740505,22.804148,22.190666
26.418728,25.418564,24.492905,23.089453,22.707745,22.265326,22.16962,24.830393,23.364935,22.499233,22.179441
27.14463,26.722685,26.22834,25.002623,24.487406,23.6153,23.383287,26.453821,25.2468,24.051643,23.40752
24.335043,23.96486,23.358906,22.084574,21.58272,20.931692,20.77496,23.605856,22.38674,21.269167,20.79055
26.188938,25.542238,24.70699,23.192444,22.550182,21.699575,21.463158,25.036736,23.555874,22.142408,21.484774
24.936052,24.62203,24.308195,23.39308,23.00457,22.12606,21.881893,24.45598,23.566154,22.598066,21.909042
27.753841,26.958359,26.256905,24.879284,24.055815,22.496822,22.030352,26.570702,25.196407,23.273598,22.076494
24.424149,24.429064,24.378174,23.842806,23.750498,23.49702,23.477125,24.419182,23.901272,23.636814,23.480782
23.123655,22.949965,22.705914,21.828115,21.604626,21.07845,20.955727,22.824354,21.957817,21.376123,20.970617
